Customer ID,Customer Name,Order Priority,Discount,Unit Price,Shipping Cost,Ship Mode,Customer Segment,Product Category,Product Sub-Category,Product Container,Product Name,Product Base Margin,Country,Region,State or Province,City,Postal Code,Order Date,Ship Date,Profit,Quantity ordered new,Sales,Order ID,Total,Manager
1552,Gary Koch,Critical,0.01,348.21,40.19,Delivery Truck,Small Business,Furniture,Tables,Jumbo Box,Bretford CR4500 Series Slim Rectangular Table,0.62,United States,South,Mississippi,Clinton,39056,1/1/2015,1/4/2015,-337.092,2,723.54,87486,348.2,Sam
2124,Paige Powers,High,0.04,45.19,1.99,Regular Air,Consumer,Technology,Computer Peripherals,Small Pack,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",0.55,United States,South,Arkansas,West Memphis,72301,1/1/2015,1/2/2015,-61.194,13,609.09,89665,45.15,Sam
1418,Rebecca Lindsey,Low,0.07,4.84,0.71,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,*Staples* Highlighting Markers,0.52,United States,Central,Indiana,Kokomo,46901,1/1/2015,1/3/2015,25.2402,8,36.58,90539,4.77,Chris
1425,Gregory Crane,Low,0.04,2036.48,14.7,Delivery Truck,Small Business,Technology,Office Machines,Jumbo Drum,Lexmark 4227 Plus Dot Matrix Printer,0.55,United States,West,Colorado,Fort Collins,80525,1/1/2015,1/6/2015,-4793.004,1,2013.67,89450,2036.44,William
3275,Tamara Dickinson,Low,0.04,449.99,24.49,Regular Air,Small Business,Technology,Copiers and Fax,Large Box,Canon PC940 Copier,0.52,United States,West,Washington,Mount Vernon,98273,1/1/2015,1/5/2015,3576.8841,12,5183.89,86234,449.95,William
3275,Tamara Dickinson,Low,0.01,5.84,1.2,Regular Air,Small Business,Office Supplies,Pens & Art Supplies,Wrap Bag,Newell 312,0.55,United States,West,Washington,Mount Vernon,98273,1/1/2015,1/10/2015,20.38,6,36.09,86234,5.83,William
1910,Sean Stephenson,Not Specified,0.02,29.17,6.27,Regular Air,Home Office,Office Supplies,Binders and Binder Accessories,Small Box,Binding Machine Supplies,0.37,United States,South,Georgia,Peachtree City,30269,1/1/2015,1/2/2015,36.906,2,63.32,91371,29.15,Sam
674,Albert Frost,Critical,0.06,161.55,19.99,Regular Air,Small Business,Office Supplies,Storage & Organization,Small Box,Fellowes Super Stor/Drawer® Files,0.66,United States,Central,Missouri,Raytown,64133,1/2/2015,1/3/2015,-7.58,3,485.01,88174,161.49,Chris
950,Jane Shah,Critical,0.06,40.98,2.99,Regular Air,Consumer,Office Supplies,Binders and Binder Accessories,Small Box,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",0.36,United States,Central,Minnesota,Prior Lake,55372,1/2/2015,1/4/2015,-14.80188,1,41.6,89083,40.92,Chris
1155,Alex Nicholson,Critical,0.09,9.11,2.15,Express Air,Consumer,Office Supplies,Paper,Wrap Bag,"Black Print Carbonless Snap-Off® Rapid Letter, 8 1/2"" x 7""",0.4,United States,West,California,Montebello,90640,1/2/2015,1/4/2015,20.2996,4,34.41,90853,9.02,William
